date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-09-30T16:00:00Z,7,Milan,Lazio,2,0,0,0,2,Milan,Lazio,Davide Massa
2023-09-30T18:45:00Z,7,Salernitana,Inter,0,4,0,0,4,Inter,Salernitana,Rosario Abisso
2023-10-01T10:30:00Z,7,Bologna,Empoli,3,0,1,0,3,Bologna,Empoli,Fabio Maresca
2023-10-01T13:00:00Z,7,Udinese,Genoa,2,2,1,2,0,DRAW,DRAW,Maurizio Mariani
2023-10-01T16:00:00Z,7,Atalanta,Juventus,0,0,0,0,0,DRAW,DRAW,Daniele Chiffi
2023-10-01T18:45:00Z,7,Roma,Frosinone,2,0,1,0,2,Roma,Frosinone,Matteo Marchetti
2023-10-02T16:30:00Z,7,Sassuolo,Monza,0,1,0,0,1,Monza,Sassuolo,Luca Zufferli
2023-10-02T16:30:00Z,7,Torino,Verona,0,0,0,0,0,DRAW,DRAW,Ermanno Feliciani
2023-10-02T18:45:00Z,7,Fiorentina,Cagliari,3,0,2,0,3,Fiorentina,Cagliari,Marco Di Bello
2023-10-06T16:30:00Z,8,Empoli,Udinese,0,0,0,0,0,DRAW,DRAW,Michael Fabbri
2023-10-06T18:45:00Z,8,Lecce,Sassuolo,1,1,0,1,0,DRAW,DRAW,Juan Luca Sacchi
2023-10-07T13:00:00Z,8,Inter,Bologna,2,2,2,1,0,DRAW,DRAW,Marco Guida
2023-10-07T16:00:00Z,8,Juventus,Torino,2,0,0,0,2,Juventus,Torino,Antonio Rapuano
2023-10-07T18:45:00Z,8,Genoa,Milan,0,1,0,0,1,Milan,Genoa,Marco Piccinini
2023-10-08T10:30:00Z,8,Monza,Salernitana,3,0,2,0,3,Monza,Salernitana,Luca Massimi
2023-10-08T13:00:00Z,8,Frosinone,Verona,2,1,1,0,1,Frosinone,Verona,Maria Caputi
2023-10-08T13:00:00Z,8,Lazio,Atalanta,3,2,2,1,1,Lazio,Atalanta,Daniele Orsato
2023-10-08T16:00:00Z,8,Cagliari,Roma,1,4,0,2,3,Roma,Cagliari,Simone Sozza
2023-10-08T18:45:00Z,8,Napoli,Fiorentina,1,3,1,1,2,Fiorentina,Napoli,Federico La Penna
2023-10-21T13:00:00Z,9,Verona,Napoli,1,3,0,2,2,Napoli,Verona,Rosario Abisso
2023-10-21T16:00:00Z,9,Torino,Inter,0,3,0,0,3,Inter,Torino,Matteo Marchetti
2023-10-21T18:45:00Z,9,Sassuolo,Lazio,0,2,0,2,2,Lazio,Sassuolo,Marco Di Bello
2023-10-22T10:30:00Z,9,Roma,Monza,1,0,0,0,1,Roma,Monza,Giovanni Ayroldi
2023-10-22T13:00:00Z,9,Bologna,Frosinone,2,1,2,0,1,Bologna,Frosinone,Daniele Doveri
2023-10-22T13:00:00Z,9,Salernitana,Cagliari,2,2,0,0,0,DRAW,DRAW,Daniele Chiffi
2023-10-22T16:00:00Z,9,Atalanta,Genoa,2,0,0,0,2,Atalanta,Genoa,Livio Marinelli
2023-10-22T18:45:00Z,9,Milan,Juventus,0,1,0,0,1,Juventus,Milan,Maurizio Mariani
2023-10-23T16:30:00Z,9,Udinese,Lecce,1,1,0,0,0,DRAW,DRAW,Paride Tremolada
2023-10-23T18:45:00Z,9,Fiorentina,Empoli,0,2,0,1,2,Empoli,Fiorentina,Federico Dionisi
2023-10-27T18:45:00Z,10,Genoa,Salernitana,1,0,1,0,1,Genoa,Salernitana,Davide Massa
2023-10-28T13:00:00Z,10,Sassuolo,Bologna,1,1,1,1,0,DRAW,DRAW,Antonio Giua
2023-10-28T16:00:00Z,10,Lecce,Torino,0,1,0,1,1,Torino,Lecce,Gianluca Aureliano
2023-10-28T18:45:00Z,10,Juventus,Verona,1,0,0,0,1,Juventus,Verona,Ermanno Feliciani
2023-10-29T11:30:00Z,10,Cagliari,Frosinone,4,3,0,2,1,Cagliari,Frosinone,Luca Pairetto
2023-10-29T14:00:00Z,10,Monza,Udinese,1,1,1,0,0,DRAW,DRAW,Alessandro Prontera
2023-10-29T17:00:00Z,10,Inter,Roma,1,0,0,0,1,Inter,Roma,Fabio Maresca
2023-10-29T19:45:00Z,10,Napoli,Milan,2,2,0,2,0,DRAW,DRAW,Daniele Orsato
2023-10-30T17:30:00Z,10,Empoli,Atalanta,0,3,0,2,3,Atalanta,Empoli,Luca Massimi
2023-10-30T19:45:00Z,10,Lazio,Fiorentina,1,0,0,0,1,Lazio,Fiorentina,Matteo Marcenaro
2023-11-03T19:45:00Z,11,Bologna,Lazio,1,0,0,0,1,Bologna,Lazio,Federico La Penna
2023-11-04T14:00:00Z,11,Salernitana,Napoli,0,2,0,1,2,Napoli,Salernitana,Antonio Rapuano
2023-11-04T17:00:00Z,11,Atalanta,Inter,1,2,0,1,1,Inter,Atalanta,Simone Sozza
2023-11-04T19:45:00Z,11,Milan,Udinese,0,1,0,0,1,Udinese,Milan,Juan Luca Sacchi
2023-11-05T11:30:00Z,11,Verona,Monza,1,3,0,1,2,Monza,Verona,Giuseppe Collu
2023-11-05T14:00:00Z,11,Cagliari,Genoa,2,1,0,0,1,Cagliari,Genoa,Marco Guida
2023-11-05T17:00:00Z,11,Roma,Lecce,2,1,0,0,1,Roma,Lecce,Andrea Colombo
2023-11-05T19:45:00Z,11,Fiorentina,Juventus,0,1,0,1,1,Juventus,Fiorentina,Daniele Chiffi
2023-11-06T17:30:00Z,11,Frosinone,Empoli,2,1,0,0,1,Frosinone,Empoli,Gianluca Manganiello
2023-11-06T19:45:00Z,11,Torino,Sassuolo,2,1,1,1,1,Torino,Sassuolo,Maria Caputi
2023-11-10T17:30:00Z,12,Sassuolo,Salernitana,2,2,1,2,0,DRAW,DRAW,Davide Ghersini
2023-11-10T19:45:00Z,12,Genoa,Verona,1,0,1,0,1,Genoa,Verona,Daniele Orsato
2023-11-11T14:00:00Z,12,Lecce,Milan,2,2,0,2,0,DRAW,DRAW,Rosario Abisso
2023-11-11T17:00:00Z,12,Juventus,Cagliari,2,1,0,0,1,Juventus,Cagliari,Marco Piccinini
2023-11-11T19:45:00Z,12,Monza,Torino,1,1,0,0,0,DRAW,DRAW,Daniele Doveri
2023-11-12T11:30:00Z,12,Napoli,Empoli,0,1,0,0,1,Empoli,Napoli,Alessandro Prontera
2023-11-12T14:00:00Z,12,Fiorentina,Bologna,2,1,1,1,1,Fiorentina,Bologna,Fabio Maresca
2023-11-12T14:00:00Z,12,Udinese,Atalanta,1,1,1,0,0,DRAW,DRAW,Gianluca Aureliano
2023-11-12T17:00:00Z,12,Lazio,Roma,0,0,0,0,0,DRAW,DRAW,Davide Massa
2023-11-12T19:45:00Z,12,Inter,Frosinone,2,0,1,0,2,Inter,Frosinone,Federico Dionisi
2023-11-25T14:00:00Z,13,Salernitana,Lazio,2,1,0,1,1,Salernitana,Lazio,Alessandro Prontera
2023-11-25T17:00:00Z,13,Atalanta,Napoli,1,2,0,1,1,Napoli,Atalanta,Maurizio Mariani
2023-11-25T19:45:00Z,13,Milan,Fiorentina,1,0,1,0,1,Milan,Fiorentina,Marco Di Bello
2023-11-26T11:30:00Z,13,Cagliari,Monza,1,1,1,0,0,DRAW,DRAW,Matteo Marchetti
2023-11-26T14:00:00Z,13,Empoli,Sassuolo,3,4,2,2,1,Sassuolo,Empoli,Simone Sozza
2023-11-26T14:00:00Z,13,Frosinone,Genoa,2,1,1,1,1,Frosinone,Genoa,Luca Zufferli
2023-11-26T17:00:00Z,13,Roma,Udinese,3,1,1,0,2,Roma,Udinese,Luca Massimi
2023-11-26T19:45:00Z,13,Juventus,Inter,1,1,1,1,0,DRAW,DRAW,Marco Guida
2023-11-27T17:30:00Z,13,Verona,Lecce,2,2,1,1,0,DRAW,DRAW,Federico La Penna
2023-11-27T19:45:00Z,13,Bologna,Torino,2,0,0,0,2,Bologna,Torino,Andrea Colombo
2023-12-01T19:45:00Z,14,Monza,Juventus,1,2,0,1,1,Juventus,Monza,Michael Fabbri
2023-12-02T14:00:00Z,14,Genoa,Empoli,1,1,1,0,0,DRAW,DRAW,Gianluca Aureliano
2023-12-02T17:00:00Z,14,Lazio,Cagliari,1,0,1,0,1,Lazio,Cagliari,Federico Dionisi
2023-12-02T19:45:00Z,14,Milan,Frosinone,3,1,1,0,2,Milan,Frosinone,Matteo Marchetti
2023-12-03T11:30:00Z,14,Lecce,Bologna,1,1,0,0,0,DRAW,DRAW,Daniele Doveri
2023-12-03T14:00:00Z,14,Fiorentina,Salernitana,3,0,2,0,3,Fiorentina,Salernitana,Paride Tremolada
2023-12-03T14:00:00Z,14,Udinese,Verona,3,3,2,1,0,DRAW,DRAW,Fabio Maresca
2023-12-03T17:00:00Z,14,Sassuolo,Roma,1,2,1,0,1,Roma,Sassuolo,Matteo Marcenaro
2023-12-03T19:45:00Z,14,Napoli,Inter,0,3,0,1,3,Inter,Napoli,Davide Massa
2023-12-04T19:45:00Z,14,Torino,Atalanta,3,0,1,0,3,Torino,Atalanta,Marco Piccinini
2023-12-08T19:45:00Z,15,Juventus,Napoli,1,0,0,0,1,Juventus,Napoli,Daniele Orsato
2023-12-09T14:00:00Z,15,Verona,Lazio,1,1,0,1,0,DRAW,DRAW,Giovanni Ayroldi
2023-12-09T17:00:00Z,15,Atalanta,Milan,3,2,1,1,1,Atalanta,Milan,Federico La Penna
2023-12-09T19:45:00Z,15,Inter,Udinese,4,0,3,0,4,Inter,Udinese,Marco Di Bello
2023-12-10T11:30:00Z,15,Frosinone,Torino,0,0,0,0,0,DRAW,DRAW,Luca Massimi
2023-12-10T14:00:00Z,15,Monza,Genoa,1,0,0,0,1,Monza,Genoa,Giuseppe Collu
2023-12-10T17:00:00Z,15,Salernitana,Bologna,1,2,0,2,1,Bologna,Salernitana,Simone Sozza
2023-12-10T19:45:00Z,15,Roma,Fiorentina,1,1,1,0,0,DRAW,DRAW,Antonio Rapuano
2023-12-11T17:30:00Z,15,Empoli,Lecce,1,1,0,0,0,DRAW,DRAW,Andrea Colombo
2023-12-11T19:45:00Z,15,Cagliari,Sassuolo,2,1,0,1,1,Cagliari,Sassuolo,Maurizio Mariani
2023-12-15T19:45:00Z,16,Genoa,Juventus,1,1,0,1,0,DRAW,DRAW,Davide Massa
2023-12-16T14:00:00Z,16,Lecce,Frosinone,2,1,1,1,1,Lecce,Frosinone,Luca Zufferli
2023-12-16T17:30:00Z,16,Napoli,Cagliari,2,1,0,0,1,Napoli,Cagliari,Matteo Marcenaro
2023-12-16T19:45:00Z,16,Torino,Empoli,1,0,1,0,1,Torino,Empoli,Livio Marinelli
2023-12-17T11:30:00Z,16,Milan,Monza,3,0,2,0,3,Milan,Monza,Gianluca Aureliano
2023-12-17T14:00:00Z,16,Fiorentina,Verona,1,0,0,0,1,Fiorentina,Verona,Maria Caputi
2023-12-17T14:00:00Z,16,Udinese,Sassuolo,2,2,1,0,0,DRAW,DRAW,Gianluca Manganiello
2023-12-17T17:00:00Z,16,Bologna,Roma,2,0,1,0,2,Bologna,Roma,Marco Guida
2023-12-17T19:45:00Z,16,Lazio,Inter,0,2,0,1,2,Inter,Lazio,Fabio Maresca
2023-12-18T19:45:00Z,16,Atalanta,Salernitana,4,1,0,1,3,Atalanta,Salernitana,Ermanno Feliciani
2023-12-22T17:30:00Z,17,Sassuolo,Genoa,1,2,1,0,1,Genoa,Sassuolo,Marco Guida
2023-12-22T17:30:00Z,17,Empoli,Lazio,0,2,0,1,2,Lazio,Empoli,Matteo Marchetti
2023-12-22T19:45:00Z,17,Monza,Fiorentina,0,1,0,1,1,Fiorentina,Monza,Juan Luca Sacchi
2023-12-22T19:45:00Z,17,Salernitana,Milan,2,2,1,1,0,DRAW,DRAW,Daniele Doveri
2023-12-23T11:30:00Z,17,Frosinone,Juventus,1,2,0,1,1,Juventus,Frosinone,Maurizio Mariani
2023-12-23T14:00:00Z,17,Torino,Udinese,1,1,0,0,0,DRAW,DRAW,Michael Fabbri
2023-12-23T14:00:00Z,17,Bologna,Atalanta,1,0,0,0,1,Bologna,Atalanta,Antonio Rapuano
2023-12-23T17:00:00Z,17,Verona,Cagliari,2,0,0,0,2,Verona,Cagliari,Daniele Orsato
2023-12-23T17:00:00Z,17,Inter,Lecce,2,0,1,0,2,Inter,Lecce,Matteo Marcenaro
2023-12-23T19:45:00Z,17,Roma,Napoli,2,0,0,0,2,Roma,Napoli,Andrea Colombo
2023-12-29T17:30:00Z,18,Fiorentina,Torino,1,0,0,0,1,Fiorentina,Torino,Federico La Penna
2023-12-29T17:30:00Z,18,Napoli,Monza,0,0,0,0,0,DRAW,DRAW,Marco Di Bello
2023-12-29T19:45:00Z,18,Genoa,Inter,1,1,1,1,0,DRAW,DRAW,Daniele Doveri
2023-12-29T19:45:00Z,18,Lazio,Frosinone,3,1,0,0,2,Lazio,Frosinone,Ermanno Feliciani
2023-12-30T11:30:00Z,18,Atalanta,Lecce,1,0,0,0,1,Atalanta,Lecce,Gianluca Manganiello
2023-12-30T14:00:00Z,18,Cagliari,Empoli,0,0,0,0,0,DRAW,DRAW,Fabio Maresca
2023-12-30T14:00:00Z,18,Udinese,Bologna,3,0,1,0,3,Udinese,Bologna,Daniele Orsato
2023-12-30T17:00:00Z,18,Verona,Salernitana,0,1,0,0,1,Salernitana,Verona,Maurizio Mariani
2023-12-30T17:00:00Z,18,Milan,Sassuolo,1,0,0,0,1,Milan,Sassuolo,Livio Marinelli
2023-12-30T19:45:00Z,18,Juventus,Roma,1,0,0,0,1,Juventus,Roma,Simone Sozza
2024-01-05T19:45:00Z,19,Bologna,Genoa,1,1,0,1,0,DRAW,DRAW,Andrea Colombo
2024-01-06T11:30:00Z,19,Inter,Verona,2,1,1,0,1,Inter,Verona,Marco Piccinini
2024-01-06T14:00:00Z,19,Frosinone,Monza,2,3,0,2,1,Monza,Frosinone,Maria Caputi
2024-01-06T17:00:00Z,19,Lecce,Cagliari,1,1,1,0,0,DRAW,DRAW,Davide Massa
2024-01-06T19:45:00Z,19,Sassuolo,Fiorentina,1,0,1,0,1,Sassuolo,Fiorentina,Rosario Abisso
2024-01-07T11:30:00Z,19,Empoli,Milan,0,3,0,2,3,Milan,Empoli,Federico La Penna
2024-01-07T14:00:00Z,19,Torino,Napoli,3,0,1,0,3,Torino,Napoli,Maurizio Mariani
2024-01-07T14:00:00Z,19,Udinese,Lazio,1,2,0,1,1,Lazio,Udinese,Juan Luca Sacchi
2024-01-07T17:00:00Z,19,Salernitana,Juventus,1,2,1,0,1,Juventus,Salernitana,Marco Guida
2024-01-07T19:45:00Z,19,Roma,Atalanta,1,1,1,1,0,DRAW,DRAW,Gianluca Aureliano
2024-01-13T14:00:00Z,20,Genoa,Torino,0,0,0,0,0,DRAW,DRAW,Antonio Giua
2024-01-13T14:00:00Z,20,Napoli,Salernitana,2,1,1,1,1,Napoli,Salernitana,Livio Marinelli
2024-01-13T17:00:00Z,20,Verona,Empoli,2,1,1,0,1,Verona,Empoli,Daniele Doveri
2024-01-13T19:45:00Z,20,Monza,Inter,1,5,0,2,4,Inter,Monza,Antonio Rapuano
2024-01-14T11:30:00Z,20,Lazio,Lecce,1,0,0,0,1,Lazio,Lecce,Maria Caputi
2024-01-14T14:00:00Z,20,Cagliari,Bologna,2,1,1,1,1,Cagliari,Bologna,Gianluca Manganiello
2024-01-14T17:00:00Z,20,Fiorentina,Udinese,2,2,0,1,0,DRAW,DRAW,Luca Pairetto
2024-01-14T19:45:00Z,20,Milan,Roma,3,1,1,0,2,Milan,Roma,Marco Guida
2024-01-15T19:45:00Z,20,Atalanta,Frosinone,5,0,3,0,5,Atalanta,Frosinone,Alessandro Prontera
2024-01-16T19:45:00Z,20,Juventus,Sassuolo,3,0,2,0,3,Juventus,Sassuolo,Marco Piccinini
2024-01-20T17:00:00Z,21,Roma,Verona,2,1,2,0,1,Roma,Verona,Juan Luca Sacchi
2024-01-20T19:45:00Z,21,Udinese,Milan,2,3,1,1,1,Milan,Udinese,Fabio Maresca
2024-01-21T11:30:00Z,21,Frosinone,Cagliari,3,1,0,1,2,Frosinone,Cagliari,Federico Dionisi
2024-01-21T14:00:00Z,21,Empoli,Monza,3,0,2,0,3,Empoli,Monza,Antonio Giua
2024-01-21T17:00:00Z,21,Salernitana,Genoa,1,2,1,1,1,Genoa,Salernitana,Daniele Orsato
2024-01-21T19:45:00Z,21,Lecce,Juventus,0,3,0,0,3,Juventus,Lecce,Daniele Doveri
2024-01-26T19:45:00Z,22,Cagliari,Torino,1,2,0,2,1,Torino,Cagliari,Andrea Colombo
2024-01-27T14:00:00Z,22,Atalanta,Udinese,2,0,2,0,2,Atalanta,Udinese,Marco Piccinini
2024-01-27T17:00:00Z,22,Juventus,Empoli,1,1,0,0,0,DRAW,DRAW,Livio Marinelli
2024-01-27T19:45:00Z,22,Milan,Bologna,2,2,1,1,0,DRAW,DRAW,Davide Massa
2024-01-28T11:30:00Z,22,Genoa,Lecce,2,1,0,1,1,Genoa,Lecce,Luca Pairetto
2024-01-28T14:00:00Z,22,Verona,Frosinone,1,1,1,0,0,DRAW,DRAW,Federico La Penna
2024-01-28T14:00:00Z,22,Monza,Sassuolo,1,0,1,0,1,Monza,Sassuolo,Gianluca Manganiello
2024-01-28T17:00:00Z,22,Lazio,Napoli,0,0,0,0,0,DRAW,DRAW,Daniele Orsato
2024-01-28T19:45:00Z,22,Fiorentina,Inter,0,1,0,1,1,Inter,Fiorentina,Gianluca Aureliano
2024-01-29T19:45:00Z,22,Salernitana,Roma,1,2,0,0,1,Roma,Salernitana,Marco Di Bello
2024-02-02T19:45:00Z,23,Lecce,Fiorentina,3,2,1,0,1,Lecce,Fiorentina,Antonio Giua
2024-02-03T14:00:00Z,23,Empoli,Genoa,0,0,0,0,0,DRAW,DRAW,Ermanno Feliciani
2024-02-03T14:00:00Z,23,Udinese,Monza,0,0,0,0,0,DRAW,DRAW,Alessandro Prontera
2024-02-03T17:00:00Z,23,Frosinone,Milan,2,3,1,1,1,Milan,Frosinone,Luca Pairetto
2024-02-03T19:45:00Z,23,Bologna,Sassuolo,4,2,1,2,2,Bologna,Sassuolo,Juan Luca Sacchi
2024-02-04T11:30:00Z,23,Torino,Salernitana,0,0,0,0,0,DRAW,DRAW,Daniele Chiffi
2024-02-04T14:00:00Z,23,Napoli,Verona,2,1,0,0,1,Napoli,Verona,Marco Piccinini
2024-02-04T17:00:00Z,23,Atalanta,Lazio,3,1,2,0,2,Atalanta,Lazio,Marco Guida
2024-02-04T19:45:00Z,23,Inter,Juventus,1,0,1,0,1,Inter,Juventus,Fabio Maresca
2024-02-05T19:45:00Z,23,Roma,Cagliari,4,0,2,0,4,Roma,Cagliari,Matteo Marcenaro
2024-02-09T19:45:00Z,24,Salernitana,Empoli,1,3,0,1,2,Empoli,Salernitana,Maurizio Mariani
2024-02-10T14:00:00Z,24,Cagliari,Lazio,1,3,0,1,2,Lazio,Cagliari,Marco Di Bello
2024-02-10T17:00:00Z,24,Roma,Inter,2,4,2,1,2,Inter,Roma,Marco Guida
2024-02-10T19:45:00Z,24,Sassuolo,Torino,1,1,1,1,0,DRAW,DRAW,Federico La Penna
2024-02-11T11:30:00Z,24,Fiorentina,Frosinone,5,1,3,0,4,Fiorentina,Frosinone,Ermanno Feliciani
2024-02-11T14:00:00Z,24,Bologna,Lecce,4,0,2,0,4,Bologna,Lecce,Gianluca Manganiello
2024-02-11T14:00:00Z,24,Monza,Verona,0,0,0,0,0,DRAW,DRAW,Davide Massa
2024-02-11T17:00:00Z,24,Genoa,Atalanta,1,4,0,1,3,Atalanta,Genoa,Andrea Colombo
2024-02-11T19:45:00Z,24,Milan,Napoli,1,0,1,0,1,Milan,Napoli,Daniele Doveri
2024-02-12T19:45:00Z,24,Juventus,Udinese,0,1,0,1,1,Udinese,Juventus,Rosario Abisso
2024-02-14T18:00:00Z,21,Bologna,Fiorentina,2,0,1,0,2,Bologna,Fiorentina,Daniele Chiffi
2024-02-16T18:00:00Z,25,Torino,Lecce,2,0,0,0,2,Torino,Lecce,Giovanni Ayroldi
2024-02-16T20:00:00Z,25,Inter,Salernitana,4,0,3,0,4,Inter,Salernitana,Marco Piccinini
2024-02-17T14:00:00Z,25,Napoli,Genoa,1,1,0,0,0,DRAW,DRAW,Juan Luca Sacchi
2024-02-17T17:00:00Z,25,Verona,Juventus,2,2,1,1,0,DRAW,DRAW,Marco Di Bello
2024-02-17T19:45:00Z,25,Atalanta,Sassuolo,3,0,1,0,3,Atalanta,Sassuolo,Alessandro Prontera
2024-02-18T11:30:00Z,25,Lazio,Bologna,1,2,1,1,1,Bologna,Lazio,Fabio Maresca
2024-02-18T14:00:00Z,25,Empoli,Fiorentina,1,1,0,1,0,DRAW,DRAW,Luca Pairetto
